syllable,onset,rhyme,n,pole_1,pole_2,pole_3,parallel_1,parallel_2,parallel_3,neighbors,example_words
fan,f,an,7,兌卦-dynamic,坎卦-dynamic,離卦-dynamic,坎卦-dynamic + 兌卦-dynamic,兌卦-dynamic,離卦-dynamic + 兌卦-dynamic,cook soup rice cooked vegetable eggplant eat spinach,返回(return) 做飯(cook) 翻譯(translate) 番茄(tomato) 番茄醬(ketchup) 米飯(rice) 飯廳(dining room)
kan,k,an,15,兌卦-dynamic,坤卦-dynamic,巽卦-dynamic,坤卦-dynamic + 兌卦-dynamic,坤卦-static + 兌卦-dynamic,兌卦-dynamic,feel leave want touch healthy breathe help need,感覺(feel) 敢(dare) 感染(infect) 趕快(hurry) 幹(dry) 情感(emotion) 尷尬(ashamed) 勇敢(brave) 幹凈(clean) 甘薯(sweet potato) 甘蔗(cane) 樹幹(trunk)
kʰan,kʰ,an,2,震卦-static,艮卦-static,震卦-dynamic,震卦-static + 震卦-dynamic,艮卦-static + 震卦-dynamic,艮卦-static + 震卦-static,view see picture below compare tell image here,看見(see) 看法(view)
lan,l,an,11,巽卦-static,乾卦-static,坤卦-dynamic,巽卦-static + 乾卦-static,巽卦-static,巽卦-static + 中卦-dynamic,dahlia hydrangea delphinium sunflower tulip daffodil marigold tomato,貪婪(greedy) 腐爛(rotten) 懶惰(lazy) 藍色(blue) 西蘭花(broccoli) 蘭花(orchid) 劍蘭(gladiolus) 龍舌蘭酒(tequila) 柵欄(fence) 籃子(basket) 籃球(basketball)
man,m,an,7,坤卦-static,坤卦-dynamic,艮卦-dynamic,坤卦-static + 艮卦-dynamic,坤卦-static + 離卦-dynamic,坤卦-static + 震卦-dynamic,fill full able enter sit complete reap get,充滿(fill) 漫遊(roam) 滿(full) 慢(slow) 滿意(satisfied) 藤蔓(vine) 地幔(mantle)
nan,n,an,5,坎卦-static,艮卦-dynamic,震卦-dynamic,坎卦-static + 震卦-dynamic,艮卦-dynamic + 坎卦-static,坎卦-static,boy man woman girl little_brother soldier young brother,難(difficult) 男人(man) 男孩(boy) 南瓜(pumpkin) 南(south)
pan,p,an,12,震卦-static,艮卦-static,離卦-static,坤卦-dynamic + 震卦-static,震卦-static,艮卦-dynamic + 震卦-static,floor next bench chair table balcony curtain corner,陪伴(accompany) 一半(half) 斑馬(zebra) 斑鳩(turtledove) 花瓣(petal) 板栗(chestnut) 地板(floor) 天花板(ceiling) 木板(board) 蹺蹺板(seesaw) 斑點(spot) 辦公室(office)
pʰan,pʰ,an,6,震卦-static,艮卦-static,震卦-dynamic,艮卦-static + 震卦-static,震卦-static,震卦-static + 震卦-dynamic,tray plate keyboard clock spoon wheel bowl bench,攀登(climb) 盤子(plate) 托盤(tray) 羅盤(compass) 鍵盤(keyboard) 裁判(referee)
san,s,an,4,坎卦-static,乾卦-dynamic,離卦-static,離卦-static + 乾卦-dynamic,坎卦-static + 乾卦-dynamic,震卦-dynamic + 乾卦-dynamic,march tuesday sunday thursday friday wednesday saturday monday,三(three) 周三(wednesday) 三月(march) 三角形(triangle)
tan,t,an,11,艮卦-static,坤卦-static,坎卦-static,艮卦-static + 中卦-static,艮卦-static,坤卦-static + 艮卦-static,egg_white egg yolk cake soy_sauce rice pudding apple_pie,淡(light) 膽小(timid) 牡丹(peony) 蛋(egg) 蛋白(egg white) 蛋黃(yolk) 蛋糕(cake) 起司蛋糕(cheesecake) 膽囊(gall bladder) 負擔(burden) 但(but)
tʰan,tʰ,an,6,坎卦-dynamic,艮卦-dynamic,兌卦-dynamic,艮卦-dynamic + 坎卦-dynamic,坎卦-dynamic + 震卦-dynamic,坎卦-dynamic + 兌卦-dynamic,slingshot bomb grenade escape attack skyscraper scorpion meteor,貪婪(greedy) 探索(explore) 海灘(beach) 彈弓(slingshot) 炸彈(bomb) 手榴彈(grenade)
t͡san,t͡s,an,1,震卦-static,兌卦-dynamic,乾卦-static,震卦-static + 兌卦-dynamic,震卦-static,震卦-static + 乾卦-static,praise shout disdain feedback respect proud boast crowd,稱讚(praise)
t͡sʰan,t͡sʰ,an,5,坤卦-dynamic,坤卦-static,乾卦-dynamic,坤卦-dynamic + 乾卦-static,坤卦-static + 坤卦-dynamic,坤卦-dynamic + 乾卦-dynamic,dinner lunch meal breakfast restaurant snack dish soup,早餐(breakfast) 午餐(lunch) 晚餐(dinner) 餐(meal) 餐廳(restaurant)
xan,x,an,2,兌卦-dynamic,坎卦-dynamic,離卦-dynamic,兌卦-dynamic,坎卦-dynamic + 兌卦-dynamic,巽卦-dynamic + 兌卦-dynamic,shout sweat scream laugh crowd tear howl praise,呼喊(shout) 汗水(sweat)
ɻan,ɻ,an,8,離卦-dynamic,坎卦-dynamic,兌卦-dynamic,坤卦-static + 離卦-dynamic,坤卦-dynamic + 離卦-dynamic,坤卦-static + 兌卦-dynamic,but not even because like why know should,感染(infect) 染色(dye) 汙染(pollute) 自然(nature) 雖然(although) 仍然(still) 然後(then) 當然(sure)
ʂan,ʂ,an,20,艮卦-static,震卦-static,坎卦-dynamic,艮卦-static + 震卦-static,艮卦-static,震卦-static,meteor mulberry_tree palm_tree ash tree mountain mushroom snow,帳單(bill) 閃耀(shine) 刪除(delete) 單(single) 山羊(goat) 珊瑚(coral) 山竹(mangosteen) 山毛櫸(beech) 冷杉(fir) 閃電(lightning) 山(mountain) 火山(volcano)
ʈ͡ʂan,ʈ͡ʂ,an,8,震卦-dynamic,艮卦-dynamic,兌卦-dynamic,震卦-dynamic,震卦-static + 震卦-dynamic,震卦-dynamic + 離卦-dynamic,stand continue challenge succeed begin fight make build,站(stand) 展示(show) 顫抖(tremble) 發展(develop) 伸展(stretch) 挑戰(challenge) 戰爭(war) 車站(station)
ʈ͡ʂʰan,ʈ͡ʂʰ,an,2,艮卦-dynamic,坤卦-dynamic,兌卦-dynamic,艮卦-dynamic,坤卦-dynamic + 艮卦-dynamic,艮卦-dynamic + 巽卦-static,midwife shovel gardener pestle nurse plumber teacher hoe,鏟(shovel) 助產士(midwife)
an,∅,an,6,坤卦-dynamic,乾卦-dynamic,坎卦-static,坤卦-dynamic + 乾卦-dynamic,坤卦-dynamic + 坎卦-static,坤卦-dynamic + 離卦-static,quiet close safe stay dark calm place warm,安排(arrange) 安全(safe) 安靜(quiet) 黑暗(dark) 海岸(coast) 圖案(pattern)
kaɪ,k,aɪ,4,兌卦-dynamic,艮卦-dynamic,離卦-dynamic,中卦-static + 兌卦-dynamic,艮卦-dynamic + 兌卦-dynamic,兌卦-dynamic,should irrigate change must can correct need choose,改變(change) 灌溉(irrigate) 乞丐(beggar) 應該(should)
kʰaɪ,kʰ,aɪ,6,離卦-dynamic,坎卦-dynamic,兌卦-dynamic,坎卦-dynamic + 離卦-dynamic,離卦-dynamic,坎卦-dynamic + 震卦-dynamic,begin make allow continue create meet prepare move,分開(split) 打開(open) 開始(begin) 開槍(shoot) 開心(happy) 開心果(pistachio)
laɪ,l,aɪ,3,離卦-dynamic,艮卦-dynamic,震卦-dynamic,艮卦-dynamic + 離卦-dynamic,震卦-dynamic + 離卦-dynamic,坤卦-dynamic + 離卦-dynamic,future come meet affect predict must soon stable,來(come) 依賴(dependent) 將來(future)
maɪ,m,aɪ,9,離卦-dynamic,震卦-static,兌卦-dynamic,離卦-dynamic,震卦-static + 離卦-dynamic,巽卦-dynamic + 離卦-dynamic,trade sell buy market finance bank money store,購買(buy) 售賣(sell) 買賣(trade) 買賣(trade) 狐貍(fox) 小麥(wheat) 靜脈(vein) 動脈(artery) 麥克風(microphone)
naɪ,n,aɪ,10,中卦-static,乾卦-static,震卦-dynamic,中卦-static + 震卦-dynamic,中卦-static,中卦-static + 乾卦-static,yogurt cream milk butter cheese milkshake sugar pudding,忍耐(endure) 耐心(patient) 奶牛(cow) 康乃馨(carnation) 牛奶(milk) 酸奶(yogurt) 奶油(cream) 奶酪(cheese) 馬蘇裏拉奶酪(mozzarella) 奶昔(milkshake)
paɪ,p,aɪ,10,兌卦-dynamic,乾卦-static,離卦-dynamic,兌卦-dynamic + 乾卦-static,離卦-dynamic + 乾卦-static,艮卦-static + 乾卦-static,egg_white golden white zebra black lily swan thousand,失敗(fail) 拜訪(visit) 清白(innocent) 白色(white) 百(hundred) 百萬(million) 白蟻(termite) 百合(lily) 蛋白(egg white) 搖擺木馬(rocking horse)
pʰaɪ,pʰ,aɪ,4,離卦-dynamic,坎卦-dynamic,坎卦-static,坎卦-static + 離卦-dynamic,離卦-dynamic,坎卦-dynamic + 離卦-dynamic,cake noodle cook arrange bowl dish apple_pie pool,排水(drain) 安排(arrange) 蘋果派(apple pie) 排球(volleyball)
saɪ,s,aɪ,2,艮卦-dynamic,震卦-dynamic,震卦-static,艮卦-dynamic + 震卦-dynamic,艮卦-dynamic,艮卦-dynamic + 震卦-static,race contest game win football season basketball team,比賽(contest) 賽跑(race)
taɪ,t,aɪ,7,離卦-dynamic,兌卦-dynamic,坎卦-dynamic,離卦-dynamic,艮卦-dynamic + 離卦-dynamic,震卦-static + 離卦-dynamic,carry bag pocket bring squeeze hurry pull take,等待(wait) 帶(bring) 攜帶(carry) 袋鼠(kangaroo) 皮帶(belt) 口袋(pocket) 接待員(receptionist)
tʰaɪ,tʰ,aɪ,8,艮卦-static,巽卦-static,坤卦-dynamic,艮卦-static + 巽卦-static,坤卦-dynamic + 艮卦-static,艮卦-static,roof sun tower balcony dome solar_system plant moon,雙胞胎(twins) 苔蘚(moss) 太陽(sun) 陽臺(balcony) 輪胎(tire) 舞臺(stage) 太陽系(solar system) 太(too)
t͡saɪ,t͡s,aɪ,14,震卦-dynamic,震卦-static,艮卦-static,坤卦-static + 震卦-dynamic,震卦-static + 震卦-dynamic,震卦-dynamic + 離卦-static,before next when until after now in present,加載(load) 不在場(absent) 在場(present) 現在(present) 在(at) 在裏面(in) 在上面(on) 在上面(above) 在下面(below) 在前面(before) 在後面(behind) 現在(now)
t͡sʰaɪ,t͡sʰ,aɪ,12,乾卦-static,坎卦-dynamic,離卦-dynamic,坎卦-dynamic + 乾卦-static,離卦-dynamic + 乾卦-static,乾卦-static,cabbage spinach cauliflower eggplant vegetable broccoli scallion tomato,猜測(guess) 蔬菜(vegetable) 菠菜(spinach) 卷心菜(cabbage) 菜花(cauliflower) 芹菜(celery) 泡菜(pickle) 彩虹(rainbow) 材料(material) 财富(wealth) 裁縫(tailor) 裁判(referee)
xaɪ,x,aɪ,22,艮卦-static,坤卦-dynamic,坎卦-static,坤卦-dynamic + 艮卦-static,坤卦-dynamic + 坎卦-static,坤卦-dynamic + 兌卦-dynamic,dolphin sea_anemone turtle whale seahorse shark starfish jellyfish,傷害(hurt) 孩子(child) 男孩(boy) 女孩(girl) 海龜(turtle) 海豚(dolphin) 海豹(seal) 海象(walrus) 海蜇(jellyfish) 海星(starfish) 海馬(seahorse) 海螺(conch)
ʈ͡ʂaɪ,ʈ͡ʂ,aɪ,6,離卦-dynamic,震卦-static,震卦-dynamic,震卦-static + 離卦-dynamic,坎卦-static + 離卦-dynamic,艮卦-dynamic + 震卦-static,blame responsibility accept burden consider refuse responsible because,選擇(choose) 債(debt) 責備(blame) 窄(narrow) 負責任(responsible) 責任(responsibility)
