lenni,olla,είναι,быть,sein,ser,essere,être,bí,fuoch,be,是,là,です ,이다,เป็น ,ada,olmak,نكون,היה,wa,होना
váljon,tulla,γίνομαι,стать,werden,convertirse,diventare,devenir,éirigh,aethon,become,成為,trở thành,なる ,되다,กลายเป็น,menjadi,olmak,أصبح,הפך,wa,बनना
csinál,tehdä,κάνω,сделать,machen,hacer,fare,faire,déan,weithreda ’,do,做,làm,する,하다,ทำ ,melakukan,yapmak,فعل,עשה,fanya,करना
megy,mennä,πάω,идти,gehen,ir,andare,aller,téigh,aethant,go,去,đi,行く,가다,ไป ,pergi,gitmek,ذهب,הלך,kwenda,जाना
jön,tulla,έρχομαι,приходить,kommen,venir,venire,venir,tar,deuant,come,來,đến,来る,올 것이다 ,มา,datang,gelmek,يأتي,בא,ja,आइये
belép,astua,μπαίνω,входить,betreten,entrar,entrare,entrer,téigh isteach,i,enter,進,nhập,入る,들어가다 ,เข้าสู่ ,a chur in eagar,girmek,دخل,נכנס,ingia,डालें
kijárat,lähteä,βγαίνω,выходить,beenden,salir,uscire,sortir,téigh amach,allanfa,exit,出,thoát,出る,나가다 ,ออก ,keluar,çıkmak,خرج,יצא,toka,निकास
várjon,odottaa,περιμένω,ждать,warten,aspettare,esperar,attendre,fan,hfed,wait,等待,đợi,待つ,기다리다 ,รอ ,menunggu,beklemek,نظر,חכה,subiri,इंतजार
maradj,jäädä,μενω,остаться,bleiben,stare,quedarse,rester,fan,arhoswch,stay,停留,ở lại,留める,머무르다,อยู่,tinggal,kalmak,بقى,נשאר,kaa,रहो
elhagy,lähteä,φεύγω,покинуть,verlassen,ir,andare,quitter,imigh,ymadaelith,leave,離,rời đi,離れる,떠나다 ,ทิ้ง ,pergi,ayrılmak,غادر,עזב,ondoka,छोड़
visszatér,palata,γυρίζω,возвращаться,zurückkehren,regresar,tornare,revenir,fill,ddychwelo,return,返回,về,戻る,돌아가다,กลับ,balik,geri dönmek,رَجَعَ,חָזַר,rudi,वापसी
gondol,ajatella,σκέφτομαι,думать,denken,pensar,pensare,penser,smaoinigh,meddwl,think,想,nghĩ,思う,생각하다 ,คิด ,berpikir,düşünmek,فكر,חשב,fikiria,सोचो
