Finnish,Greek,Russian,Sanskrit,German,Nahuatl,Spanish,Italian,French,Irish,English,Chinese,Vietnamese,Japanese,Korean,Tibetan,Thai,Indonesian,Turkish,Arabic,Hebrew,Swahili
olla,είναι,быть,अस्ति,sein,ca,ser,essere,être,bí,be,是,là,です,이다,རེད,เป็น,ada,olmak,نكون,היה,wa
tulla,γίνομαι,стать,भवति,werden,mochihua,convertirse,diventare,devenir,éirigh,become,成为,trở thành,なる,되다,ཆགས,กลายเป็น,menjadi,olmak,أصبح,הפך,wa
tehdä,κάνω,сделать,करोति,machen,chihua,hacer,fare,faire,déan,do,做,làm,する,하다,བྱེད,ทำ,melakukan,yapmak,فعل,עשה,fanya
mennä,πάω,идти,गच्छति,gehen,yauh,ir,andare,aller,téigh,go,去,đi,行く,가다,འགྲོ,ไป,pergi,gitmek,ذهب,הלך,kwenda
tulla,έρχομαι,приходить,आगच्छति,kommen,huallauh,venir,venire,venir,tar,come,来,đến,来る,올 것이다,ཡོང,มา,datang,gelmek,يأتي,בא,ja
astua,μπαίνω,входить,विशति,betreten,acohua,entrar,entrare,entrer,téigh isteach,enter,进,nhập,入る,들어가다,འཛུལ,เข้าสู่,memasuki,girmek,دخل,נכנס,ingia
lähteä,βγαίνω,выходить,अपगच्छति,beenden,quiza,salir,uscire,sortir,téigh amach,exit,出,thoát,出る,나가다,དོན,ออก,keluar,çıkmak,خرج,יצא,toka
odottaa,περιμένω,ждать,प्रतीक्षते,warten,chia,aspettare,esperar,attendre,fan,wait,等待,đợi,待つ,기다리다,སྒུག,รอ,menunggu,beklemek,نظر,חכה,subiri
jäädä,μενω,остаться,वसति,bleiben,nactia,stare,quedarse,rester,fan,stay,停留,ở lại,留める,머무르다,བསྡད,อยู่,tinggal,kalmak,بقى,נשאר,kaa
lähteä,φεύγω,покинуть,अपगच्छति,verlassen,quiztimani,ir,andare,quitter,imigh,leave,离,rời đi,離れる,떠나다,ཐོན,ทิ้ง,pergi,ayrılmak,غادر,עזב,ondoka
ajatella,σκέφτομαι,думать,मन्यते,denken,nemilia,pensar,pensare,penser,smaoinigh,think,想,nghĩ,思う,생각하다,བསམ,คิด,berpikir,düşünmek,فكر,חשב,fikiria
harkita,θεωρώ,рассмотреть,चिन्तयति,betrachten,itztinemi,considerar,considerare,réfléchir,breathnaigh,consider,考虑,cân nhắc,考える,고려하다,བསྡད་བློ,พิจารณา,mempertimbangkan,düşünmek,عبر,שקל,zingatia
päättää,αποφασίζω,решить,निर्णयति,entscheiden,yocoya,decidir,decidere,decider,socraigh,decide,决定,quyết định,決める,결정하다,ཐག་བཅད,ตัดสิน,memutuskan,karar vermek,قرر,החליט,amua
valita,διαλέγω,выбирать,वृणोति,wählen,pepena,elegir,scegliere,choisir,roghnaigh,choose,选择,chọn,選ぶ,고르다,གདམ་ཀ་རྒྱག,เลือก,memilih,seçmek,اختار,בחר,chagua
tuntea,νιώθω,чувствовать,अनुभवति,fühlen,mati,sentir,sentire,sentir,mothaigh,feel,感觉,cảm thấy,感じる,느끼다,མྱངས,รู้สึก,merasa,hissetmek,أحس,הרגיש,hisi
nähdä,βλέπω,увидеть,पश्यति,sehen,itta,ver,vedere,voir,feic,see,看见,xem,見る,보다,མཐོང,ดู,melihat,görmek,رأى,ראה,ona
kuulla,ακούω,услышать,शृणोति,hören,caqui,escuchar,ascoltare,entendre,clois,hear,听,nghe,聞く,듣다,གོ,ฟัง,mendengar,duymak,سمع,שמע,sikia
koskettaa,αγγίξω,трогать,स्पृशति,berühren,matoca,tocar,toccare,toucher,teagmhaigh,touch,触摸,chạm,触る,만지다,སག་པ་འཆངས,สัมผัส,menyentuh,dokunmak,لمس,נגע,gusa
haistaa,μυρίζω,пахнуть,जिघ्रति,riechen,ihnecui,oler,odorare,sentir,bolaigh,smell,闻,ngửi,嗅ぐ,맡다,སྣོམ,ดม,mencium,koklamak,شم,הריח,nunulia
