concept_id,english,language,ours,verdict,suggested,confidence,note
1350,fan,Hun,fanni,likely_wrong,ventilátor,med,not a Hungarian word
1350,fan,Fin,kamera,wrong_sense,tuuletin,high,means camera
1350,fan,Ita,fan,wrong_sense,ventilatore,high,English admirer sense
1350,fan,Vie,người hâm mộ,wrong_sense,quạt,med,means admirer
1350,fan,Kor,팬,wrong_sense,선풍기,med,means admirer
1350,fan,Ind,penggemar,wrong_sense,kipas angin,high,means admirer
1350,fan,Ara,المعجب,wrong_sense,مروحة,high,means admirer
1350,fan,Heb,אוהד,wrong_sense,מאוורר,high,means supporter
1350,fan,Swa,shabiki,wrong_sense,feni,med,means supporter
1350,fan,Hin,प्रशंसक,wrong_sense,पंखा,high,means admirer
1351,camera,Fin,puhelin,wrong_sense,kamera,high,means telephone
1351,camera,Ita,telecamera,wrong_sense,fotocamera,med,means video camera
1352,telephone,Fin,televisio,wrong_sense,puhelin,high,means television
1352,telephone,Wel,alwa ',garbage,ffôn,low,not a word
1353,television,Fin,tietokone,wrong_sense,televisio,high,means computer
1354,computer,Hun,computer,untranslated,számítógép,high,English left as-is
1354,computer,Fin,kannettava tietokone,wrong_sense,tietokone,med,means laptop
1354,computer,Rus,компьютерный,wrong_pos,компьютер,high,adjective
1355,laptop,Fin,ohjelmoida,wrong_pos,läppäri,high,means to program
1356,program,Fin,verkko,wrong_sense,ohjelma,high,means network
1356,program,Swa,mpango,wrong_sense,programu,med,means plan
1357,network,Hun,network,untranslated,hálózat,high,English left as-is
1357,network,Fin,jääkaappi,wrong_sense,verkko,high,means refrigerator
1357,network,Kor,회로망,wrong_sense,네트워크,low,circuit-network sense
1358,refrigerator,Fin,ilmastointilaite,wrong_sense,jääkaappi,high,means air conditioner
1359,air conditioner,Fin,pesukone,wrong_sense,ilmastointilaite,high,means washing machine
1360,washing machine,Fin,imuri,wrong_sense,pesukone,high,means vacuum cleaner
1361,vacuum cleaner,Fin,uuni,wrong_sense,pölynimuri,high,means oven
1361,vacuum cleaner,Swa,safi ya utupu,phrase,kisafishaji,med,calque not a lexeme
1362,oven,Fin,kattila,wrong_sense,uuni,high,means pot or boiler
1363,kettle,Fin,mikroaaltouuni,wrong_sense,vedenkeitin,high,means microwave oven
1363,kettle,Swa,kettle,untranslated,birika,med,English left as-is
1364,microwave,Fin,partaveitsi,wrong_sense,mikroaaltouuni,high,means razor
1365,razor,Fin,radio,wrong_sense,partakone,high,means radio
1366,radio,Fin,seulonta,wrong_sense,radio,high,means screening
1366,radio,Jap,無線,wrong_sense,ラジオ,med,means wireless comms
1367,chip,Gre,πατατακι,wrong_sense,τσιπ,high,means potato crisp
1367,chip,Ita,patata fritta,wrong_sense,chip,high,means french fry
1367,chip,Wel,naddu,wrong_pos,,low,means to whittle
1367,chip,Tur,yonga,wrong_sense,çip,low,means wood chip
1368,screen,Fin,näppäimistö,wrong_sense,näyttö,high,means keyboard
1369,keyboard,Fin,skanneri,wrong_sense,näppäimistö,high,means scanner
1369,keyboard,Ger,klaviatur,wrong_sense,Tastatur,high,means piano keyboard
1369,keyboard,Tur,tuş takımı,wrong_sense,klavye,low,means keypad
1370,scanner,Fin,tulostin,wrong_sense,skanneri,high,means printer
1370,scanner,Gre,ερευνητής,wrong_sense,σαρωτής,high,means researcher
1371,printer,Fin,kuuloke,wrong_sense,tulostin,high,means earphone
1372,earphone,Fin,mikrofoni,wrong_sense,kuulokkeet,high,means microphone
1372,earphone,Swa,sikio,wrong_sense,earfoni,med,means ear body part
1373,microphone,Fin,kaiutin,wrong_sense,mikrofoni,high,means loudspeaker
1373,microphone,Vie,cái mic cờ rô,garbage,micrô,low,garbled transliteration
1374,loudspeaker,Fin,instrumentti,wrong_sense,kaiutin,high,means instrument
1375,instrument,Fin,konsertti,wrong_sense,soitin,high,means concert
1375,instrument,Rus,инструмент,wrong_sense,музыкальный инструмент,med,generic tool not musical
1375,instrument,Vie,dụng cụ,wrong_sense,nhạc cụ,med,means tool
1375,instrument,Kor,기구,wrong_sense,악기,med,means apparatus
1375,instrument,Tha,อุปกรณ์,wrong_sense,เครื่องดนตรี,med,means equipment
1375,instrument,Ara,أداة,wrong_sense,آلة موسيقية,med,means tool
1375,instrument,Heb,כלי,wrong_sense,כלי נגינה,med,means vessel or tool
1375,instrument,Hin,यंत्र,wrong_sense,वाद्ययंत्र,med,means machine or device
1375,instrument,Swa,chombo,wrong_sense,ala ya muziki,low,means vessel or tool
1376,concert,Fin,ooppera,wrong_sense,konsertti,high,means opera
1377,opera,Fin,orkesteri,wrong_sense,ooppera,high,means orchestra
1377,opera,Gre,λυρικη σκηνη,phrase,όπερα,low,roundabout phrase
1378,orchestra,Fin,sinfonia,wrong_sense,orkesteri,high,means symphony
1379,symphony,Hun,szimfonikus,wrong_pos,szimfónia,high,adjective symphonic
1379,symphony,Fin,melodia,wrong_sense,sinfonia,high,means melody
1380,melody,Hun,melody,untranslated,dallam,high,English left as-is
1380,melody,Fin,rytmi,wrong_sense,melodia,high,means rhythm
1381,rhythm,Fin,loppusointu,wrong_sense,rytmi,high,means end rhyme
1381,rhythm,Ara,على نفس المنوال,phrase,إيقاع,high,means in the same manner
1381,rhythm,Swa,rhythm,untranslated,mdundo,med,English left as-is
1381,rhythm,Kor,율,likely_wrong,리듬,low,clipped odd form
1382,rhyme,Fin,lyrics,untranslated,riimi,high,English word left
