Hungarian,Finnish,Greek,Russian,Sanskrit,German,Nahuatl,Spanish,Italian,French,Irish,Welsh,English,Chinese,Vietnamese,Japanese,Korean,Tibetan,Thai,Indonesian,Turkish,Swahili,Hindi,Iti,Ifi,French2,French3,Frnch,French4,Flinch
lenni,olla,είναι,быть,अस्ति,sein,ca,ser,essere,être,bí,fuoch,be,是,là,です ,이다,རེད,เป็น ,ada,olmak,wa,होना,ma,ma2,têtre ,fêtre ,tr ,êsre ,êsli 
váljon,tulla,γίνομαι,стать,भवति,werden,mochihua,convertirse,diventare,devenir,éirigh,aethon,become,成為,trở thành,なる ,되다,ཆགས,กลายเป็น,menjadi,olmak,wa,बनना,mi,mi2,tdevenir ,fdevenir ,dvnr ,zevenir ,zivinel 
csinál,tehdä,κάνω,сделать,करोति,machen,chihua,hacer,fare,faire,déan,weithreda ’,do,做,làm,する,하다,བྱེད,ทำ ,melakukan,yapmak,fanya,करना,ta,fa2,tfaire ,ffaire ,fr ,faire ,faeli 
megy,mennä,πάω,идти,गच्छति,gehen,yauh,ir,andare,aller,téigh,aethant,go,去,đi,行く,가다,འགྲོ,ไป ,pergi,gitmek,kwenda,जाना,ti,fi2,taller ,faller ,llr ,aller ,arril 
jön,tulla,έρχομαι,приходить,आगच्छति,kommen,huallauh,venir,venire,venir,tar,deuant,come,來,đến,来る,올 것이다 ,ཡོང,มา,datang,gelmek,ja,आइये,pa,la2,tvenir ,fvenir ,vnr ,venir ,vinel 
belép,astua,μπαίνω,входить,विशति,betreten,acohua,entrar,entrare,entrer,téigh isteach,i,enter,進,nhập,入る,들어가다 ,འཛུལ,เข้าสู่ ,a chur in eagar,girmek,ingia,डालें,pi,li2,tentrer ,fentrer ,ntrr ,ensrer ,inslil 
kijárat,lähteä,βγαίνω,выходить,अपगच्छति,beenden,quiza,salir,uscire,sortir,téigh amach,allanfa,exit,出,thoát,出る,나가다 ,དོན,ออก ,keluar,çıkmak,toka,निकास,za,ca2,tsortir,fsortir,srtr,torsir,tolsel
várjon,odottaa,περιμένω,ждать,प्रतीक्षते,warten,chia,aspettare,esperar,attendre,fan,hfed,wait,等待,đợi,待つ,기다리다 ,སྒུག,รอ ,menunggu,beklemek,subiri,इंतजार,zi,ci2,tattendre ,fattendre ,ttndr ,assenzre ,assinzli 
maradj,jäädä,μενω,остаться,वसति,bleiben,nactia,stare,quedarse,rester,fan,arhoswch,stay,停留,ở lại,留める,머무르다,བསྡད,อยู่,tinggal,kalmak,kaa,रहो,zha,cha2,trester ,frester ,rstr ,retser ,litsil 
elhagy,lähteä,φεύγω,покинуть,अपगच्छति,verlassen,quiztimani,ir,andare,quitter,imigh,ymadaelith,leave,離,rời đi,離れる,떠나다 ,ཐོན,ทิ้ง ,pergi,ayrılmak,ondoka,छोड़,zhi,chi2,tquitter,fquitter,qttr,quisser,quessil
visszatér,palata,γυρίζω,возвращаться,मन्यते,zurückkehren,nemilia,regresar,tornare,revenir,fill,ddychwelo,return,返回,về,戻る,돌아가다,བསམ,กลับ,balik,geri dönmek,rudi,वापसी,fa,ta2,tpenser ,fpenser ,pnsr ,kenter ,kintil 
gondol,ajatella,σκέφτομαι,думать,चिन्तयति,denken,itztinemi,pensar,pensare,penser,smaoinigh,meddwl,think,想,nghĩ,思う,생각하다 ,བསྡད་བློ,คิด ,berpikir,düşünmek,fikiria,सोचो,fi,ti2,tréfléchir,fréfléchir,rflchr,réfléchir,léfréchel
fontolgat,harkita,θεωρώ,рассмотреть,निर्णयति,betrachten,yocoya,considerar,considerare,réfléchir,breathnaigh,bwyllom,consider,考慮,cân nhắc,考える,고려하다,ཐག་བཅད,พิจารณา ,mempertimbangkan,düşünmek,zingatia,विचार करना,fu,tu2,tdecider,fdecider,dcdr,zecizer,zicezil
