be,lenni,olla,είναι,быть,sein,ser,essere,être,是,là,です ,이다,เป็น ,ada,olmak,نكون,היה,होना
become,váljon,tulla,γίνομαι,стать,werden,convertirse,diventare,devenir,成為,trở thành,なる ,되다,กลายเป็น,menjadi,olmak,أصبح,הפך,बनना
do,csinál,tehdä,κάνω,сделать,machen,hacer,fare,faire,做,làm,する,하다,ทำ ,melakukan,yapmak,فعل,עשה,करना
go,megy,mennä,πάω,идти,gehen,ir,andare,aller,去,đi,行く,가다,ไป ,pergi,gitmek,ذهب,הלך,जाना
come,jön,tulla,έρχομαι,приходить,kommen,venir,venire,venir,來,đến,来る,올 것이다 ,มา,datang,gelmek,يأتي,בא,आइये
enter,belép,astua,μπαίνω,входить,betreten,entrar,entrare,entrer,進,nhập,入る,들어가다 ,เข้าสู่ ,masuk,girmek,دخل,נכנס,डालें
exit,kijárat,lähteä,βγαίνω,выходить,beenden,salir,uscire,sortir,出,thoát,出る,나가다 ,ออก ,keluar,çıkmak,خرج,יצא,निकास
wait,várjon,odottaa,περιμένω,ждать,warten,aspettare,esperar,attendre,等待,đợi,待つ,기다리다 ,รอ ,menunggu,beklemek,نظر,חכה,इंतजार
stay,maradj,jäädä,μενω,остаться,bleiben,stare,quedarse,rester,停留,ở lại,留める,머무르다,อยู่,tinggal,kalmak,بقى,נשאר,रहो
leave,elhagy,lähteä,φεύγω,покинуть,verlassen,ir,andare,quitter,離,rời đi,離れる,떠나다 ,ทิ้ง ,pergi,ayrılmak,غادر,עזב,छोड़
return,visszatér,palata,γυρίζω,возвращаться,zurückkehren,regresar,tornare,revenir,返回,về,戻る,돌아가다,กลับ,balik,geri dönmek,رَجَعَ,חָזַר,वापसी
think,gondol,ajatella,σκέφτομαι,думать,denken,pensar,pensare,penser,想,nghĩ,思う,생각하다 ,คิด ,berpikir,düşünmek,فكر,חשב,सोचो
consider,fontolgat,harkita,θεωρώ,рассмотреть,betrachten,considerar,considerare,réfléchir,考慮,cân nhắc,考える,고려하다,พิจารณา ,mempertimbangkan,düşünmek,عبر,שקל,विचार करना
decide,döntsd el,päättää,αποφασίζω,решить,entscheiden,decidir,decidere,decider,決定,quyết định,決める,결정하다,ตัดสิน,memutuskan,karar vermek,قرر,החליט,तय करना
choose,választás,valita,διαλέγω,выбирать,wählen,elegir,scegliere,choisir,選擇,chọn,選ぶ,고르다,เลือก ,memilih,seçmek,اختار,בחר,चुनें
feel,érzem,tuntea,νιώθω,чувствовать,fühlen,sentir,sentire,sentir,感覺,cảm thấy,感じる,느끼다,รู้สึก ,merasa,hissetmek,أحس,הרגיש,महसूस
see,lásd,nähdä,βλέπω,увидеть,sehen,ver,vedere,voir,看見,xem,見る,보다,ดู,melihat,görmek,رأى,ראה,देखिए
hear,hallani,kuulla,ακούω,услышать,hören,escuchar,ascoltare,entendre,聽,nghe,聞く,듣다,ฟัง,mendengar,duymak,سمع,שמע,सुन
touch,érintés,koskettaa,αγγίξω,трогать,berühren,tocar,toccare,toucher,觸摸,chạm,触る,만지다,สัมผัส ,menyentuh,dokunmak,لمس,נגע,टच
smell,illat,haistaa,μυρίζω,пахнуть,riechen,oler,odorare,sentir,聞,ngửi,嗅ぐ,맡다 ,ดม,mencium,koklamak,شم,הריח,महकते
taste,íze,maistaa,δοκιμάσω,пробовать,schmecken,probar,assaggiare,goûter,嘗,nếm,味わう,맛보다,ลิ้มรส ,merasakan,tatmak,ذاق,טעם,स्वाद
say,mondd,sanoa,λέω,сказать,sagen,decir,dire,dire,說,nói,言う,말하다,พูด,mengatakan,söylemek,قال,אמר,कह
know,tud,tietää,γνωρίζω,знать,wissen,saber,sapere,savoir,知,biết,知る,알다,รู้,mengetahui,bilmek,عرف,ידע,जान
learn,tanul,oppia,μαθαίνω,учиться,lernen,aprender,imparare,apprendre,學習,học,学ぶ,배우다 ,เรียนรู้ ,mempelajari,öğrenmek,تعلم,למד,सीख
teach,tanítani,opettaa,για να διδάξω,учить,lehren,enseñar,insegnare,enseigner,教,dạy,教える,가르치다,สอน,mengajar,öğretmek,لتعليم,ללמד,सिखा
repeat,ismétlés,toistaa,επαναλαμβάνω,повторять,wiederholen,repetir,ripetere,répéter,重復,lặp lại,繰り返す,반복하려면,ทำซ้ำ,mengulang,tekrarlamak için,لتكرار,לחזור,दोहराना
be used to,hozzá van szokva valamihez,olla tottunut,να συνηθίσει,быть использованным для,gewohnt sein an,estar acostumbrado a,essere solito,avoir l'habitude,習慣,được dùng để,慣れる,익숙해 져야합니다,ใช้,terbiasa,alışmak,لتستعمل فى,להיות רגיל ל,आदी हो
