concept_id,english,language,ours,verdict,suggested,confidence,note,also_flagged,strength
180,howl,Finnish,kätevästi,garbage,ulvoa,high,means handily/conveniently,NW,all_three
204,rear,Finnish,takaa,wrong_sense,kasvattaa,high,means from behind,NW,all_three
550,who,Finnish,who,untranslated,kuka,high,English left as-is,NW,all_three
6,exit,German,beenden,wrong_sense,hinausgehen,med,means terminate/quit a program,NW,all_three
158,dash,German,zu streiten,wrong_sense,stürmen,high,means to quarrel,NW,all_three
204,rear,German,nach hinten,wrong_sense,aufziehen,high,means to the rear,NW,all_three
217,pour,German,zu arm,garbage,gießen,high,means too poor mis-split,NW,all_three
442,even,German,selbst,wrong_sense,gerade,high,means even or also adverb,NW,all_three
67,swallow,Greek,να καταπιω,phrase,καταπίνω,med,subjunctive periphrasis,NW,all_three
75,catch,Greek,να πιάσω,phrase,πιάνω,med,subjunctive periphrasis,NW,all_three
156,kiss,Greek,να φιλήσει,phrase,φιλάω,med,subjunctive periphrasis,NW,all_three
204,rear,Greek,πίσω,wrong_sense,ανατρέφω,high,means behind,NW,all_three
216,fill,Greek,να γεμίσω,phrase,γεμίζω,med,subjunctive periphrasis,NW,all_three
461,fair,Greek,έκθεση,wrong_sense,δίκαιο,high,means report or exhibition,NW,all_three
158,dash,Hebrew,לדאוף,likely_wrong,להסתער,low,not a standard word,NW,all_three
188,like,Hebrew,לחבב,wrong_sense,להידמות,med,this sense is resemble,NW,all_three
550,who,Hebrew,who,untranslated,מי,high,English left as-is,NW,all_three
10,return,Hindi,वापसी,wrong_pos,लौटना,low,noun return,NW,all_three
30,draw,Hindi,चित्रण,wrong_pos,चित्र बनाना,low,noun illustration,NW,all_three
59,stick,Hindi,स्टिक,untranslated,चिपकना,high,transliteration of English stick,NW,all_three
64,cry,Hindi,क्राई,untranslated,रोना,high,transliteration of English cry,NW,all_three
74,throw,Hindi,throw,untranslated,फेंकना,high,English left as-is,NW,all_three
75,catch,Hindi,कैच,untranslated,पकड़ना,high,transliteration of English catch,NW,all_three
77,tie,Hindi,टाई,untranslated,बाँधना,high,transliteration means necktie,NW,all_three
79,count,Hindi,गिनती,wrong_pos,गिनना,low,noun counting,NW,all_three
93,make,Hindi,मेक,untranslated,बनाना,high,transliteration of English make,NW,all_three
116,move,Hindi,मूव,untranslated,हिलना,high,transliteration of English move,NW,all_three
122,add,Hindi,add,untranslated,जोड़ना,high,English left as-is,NW,all_three
127,fall,Hindi,पतन,wrong_pos,गिरना,low,noun downfall,NW,all_three
129,pass,Hindi,pass,untranslated,गुज़रना,high,English left as-is,NW,all_three
135,freeze,Hindi,फ्रीज,untranslated,जमना,high,transliteration of English freeze,NW,all_three
156,kiss,Hindi,चुंबन,wrong_pos,चूमना,low,noun a kiss,NW,all_three
161,hunt,Hindi,हंट,untranslated,शिकार करना,high,transliteration of English hunt,NW,all_three
164,protect,Hindi,protect,untranslated,रक्षा करना,high,English left as-is,NW,all_three
172,sweep,Hindi,स्वीप,untranslated,झाड़ू लगाना,high,transliteration of English sweep,NW,all_three
181,call,Hindi,कॉल,untranslated,बुलाना,high,transliteration of English call,NW,all_three
190,hang,Hindi,हैंग,untranslated,लटकाना,high,transliteration of English hang,NW,all_three
194,shake,Hindi,शेक,untranslated,हिलाना,high,transliteration of English shake,NW,all_three
195,tremble,Hindi,घबराना,wrong_sense,काँपना,med,means to panic/be nervous,NW,all_three
208,support,Hindi,support,untranslated,समर्थन करना,high,English left as-is,NW,all_three
209,load,Hindi,लोड,untranslated,लादना,high,transliteration of English load,NW,all_three
232,dye,Hindi,डाई,untranslated,रंगना,high,transliteration of English dye,NW,all_three
233,wrap,Hindi,रैप,untranslated,लपेटना,high,transliteration of English wrap,NW,all_three
238,handle,Hindi,हैंडल,untranslated,संभालना,high,transliteration of English handle,NW,all_three
273,chat,Hindi,गपशप,wrong_pos,गपशप करना,low,noun gossip,NW,all_three
277,control,Hindi,कंट्रोल,untranslated,नियंत्रित करना,med,transliteration of English control,NW,all_three
319,guide,Hindi,मार्गदर्शिका,wrong_pos,मार्गदर्शन करना,med,noun guidebook feminine,NW,all_three
355,long,Hindi,long,untranslated,लंबा,high,English left as-is,NW,all_three
378,hot,Hindi,hot,untranslated,गरम,high,English left as-is,NW,all_three
445,good,Hindi,शुभ,wrong_sense,अच्छा,med,means auspicious,NW,all_three
470,fresh,Hindi,भैस,garbage,ताज़ा,high,means buffalo or typo,NW,all_three
524,black,Hindi,ब्लैक,untranslated,काला,high,transliteration of English black,NW,all_three
526,red,Hindi,रेड,untranslated,लाल,high,transliteration of English red,NW,all_three
529,green,Hindi,ग्रीन,untranslated,हरा,high,transliteration of English green,NW,all_three
584,ten,Hindi,टेन,untranslated,दस,high,transliteration of English ten,NW,all_three
70,blow,Hungarian,robbantani,wrong_sense,fújni,high,means blow up/detonate,NW,all_three
77,tie,Hungarian,döntetlen,wrong_sense,megkötni,high,means a draw/tie in sport,NW,all_three
82,close,Hungarian,közeli,wrong_sense,bezárni,high,adjective nearby/close proximity,NW,all_three
127,fall,Hungarian,ősz,wrong_sense,esni,high,means autumn/the season,NW,all_three
141,fry,Hungarian,fry,untranslated,sütni,high,English left as-is,NW,all_three
156,kiss,Hungarian,kiss,untranslated,csók,high,English left as-is,NW,all_three
158,dash,Hungarian,dash,untranslated,rohanni,high,English left as-is,NW,all_three
180,howl,Hungarian,howl,untranslated,üvölteni,high,English left as-is,NW,all_three
194,shake,Hungarian,shake,untranslated,rázni,high,English left as-is,NW,all_three
209,load,Hungarian,terhelés,wrong_pos,megrakni,med,noun load/burden,NW,all_three
