be,"légy, leszünk, lennie, lennék, leszel","oltava, Tulen, olemaan, pian, voisi","Μπορεί, μπορούσε, είστε, ναι, γίνει","стать, должно, будут, будем, будешь","sollte, könnte, wäre, müssen, werde","seas, Debe, estaría, estará, debería","saranno, dovrebbe, sarà, deve, sara","serai, serait, pourrait, soit, peut-être","be, 成為, 肯定, 沒事, 回來","ổn, ngay, tốt, chứ, không_thể","しれ, はず, 大丈夫, べ, すぐ","be, 겁니다, 될, 해야, 괜찮","คงจะ, ไม่เป็นไร, ควรจะ, เดี๋ยว, น่าจะ","segera, seharusnya, baik-baik, Mungkin, pasti","olmalısın, olacaksın, olmayacak, olacağım, olurdu",y,"נהיה, יהיו, אהיה, אמור, בטח",y
become,"azzá, válnak, válni, belőled, lettél","ryhtyä, Meistä, muuttua, Sinusta, Hänestä","έγινες, γίνετε, γίνεσαι, γίνουμε, γίνονται","становятся, станут, станешь, стану, становится","geworden, wirst, zur, wurde, sehr",y,"diventano, diventati, diventi, diventata, diventa","deviendra, devenus, deviennent, deviens, devenue",y,y,"なれ, 為, しかし, けれ, 世界","언제, 부터, 될, 된, 길",y,"semakin, berubah, kuat, bagi, bagian","oldun, haline, olmayı, hale, olma","لتصبح, سأصبح, نصبح, اصبحت, ستصبح","יהפכו, הפכת, תהפוך, הפכתי, הופכים",y
do,"csináljak, tegyek, csináld, tennem, köze","Tee, Teen, tekemään, tarkoitat, teemme","εννοείς, σχέση, κάνετε, νομίζεις, Πως","сделаю, думаешь, сделал, чего, этим","meinst, getan, willst, wollen, damit","hacemos, hagas, haré, hacen, hago","facciamo, faccio, pensi, faccia, farlo","comment, fais, Que, Alors, dois","do, 暗, 辦, 怎樣, 幹","làm_việc, thế_nào, Sao, Vậy, Cậu","すれ, 関係, べ, 出来, 仕事","do, 짓, 뭘, 그러, 해야","ฉันทำ, อย่างไร, ทำได้, หมายความว่า, อย่างนั้น","hubungannya, menurutmu, maksudmu, kulakukan, dilakukan","yapabilirim, yaparım, yapmam, yapma, yapacaksın","ستفعل, افعل, سأفعل, رأيك, نفعل","אעשה, נעשה, תעשה, עשית, עושים","करोगे, ऐसा, करते, करें, करेंगे"
go,"menned, Mennem, Megyek, menjen, mennünk","mentävä, Menkää, Päästä, mennään, Lähdetään","Ορίστε, πάτε, πήγαινε, Πάω, φύγεις","поехать, пойдем, иди, Куда, пошли","gehst, geh, Geh, Gehen, fahren","irnos, Vámonos, vayas, iré, irme","vada, Vado, Vai, Forza, vai","Allons-y, Allons, rentrer, chercher, allez","go, 放開, 進去, е, ǐ","Đi, quay, ngoài, hãy, cùng","行け, よし, こ, さあ, きゃ","go, 들어가, 돌아가, 갈, 빨리","go, กลับบ้าน, ไปหา, เอาล่ะ, เข้าไป","go, pergilah, Lepaskan, Cepat, Pergi","yürü, Gitmem, gidin, gideceğim, gitmem","للذهاب, إذهب, ذا, سنذهب, يذهب","סע, לכי, נזוז, תלך, אלך",y
come,"ugyan, jöjjön, jönnek, gyerünk, jöttél","tulemaan, mukaani, käymään, viitsi, tulet","ελάτε, έρθετε, έρχεσαι, έρθουν, έρχονται","приехать, прийти, иди, пришли, пришла","Kommen, kommst, gekommen, komm, komme","vienes, vienen, venga, llegado, ven","vieni, venuta, forza, Vieni, Dai","venez, entrer, revenir, Viens, venu","come, 進來, 快點, 過來, 出來","Thôi, nhanh, trở_lại, xuống, quay",y,"come, 와서, 이리, 돌아오, 올","มาหา, มานี่, ไม่เอา, มาจาก, เข้ามา","come, ayolah, kesini, ayo, kemari",y,"يأتون, المجيء, القدوم, آتي, سيأتي","אבוא, תבוא, יבוא, באת, באים","आ, आते, आना, आओ, आने"
enter,"belépni, belépnek, belépsz, léphet, versenyre",y,"εισέλθουν, εισέλθει, μπείτε, μπαίνουν, μπαίνεις",y,y,"entrará, entres, entren, entras, entran","entrano, entrate, partecipare, entri, entra",y,"進入, 輸入, 斷, \ue5f0, 秈",y,"入, 入力, 侵入, 許可, 入れ","들어가, 진입, 들어오, 들어갈, 들어갑니다","จะเข้า, จะเข้าไป, เข้าสู่, กด, ห้าม","memasuki, masukkan, enter, memasukkan, istana","giremez, gireceğiz, girmeyi, girerken, girin","لدخول, سيدخل, ستدخل, يدخلون, سندخل","לתחרות, ייכנס, ניכנס, תיכנס, להכנס","प्रवेश, दर्ज, करें, अवधारणाओं, जूतो"
exit,y,"uloskäynti, uloskäyntiä, uloskäynnin, liittymästä, liittymä","έξοδο, έξοδος, εξόδου, εξόδους, στρατηγική","выходу, Выход, выход, съезд, отхода","Ausgang, Ausfahrt, Abgang, Notausgang, verlassen","orificio, salidas, estrategia, salgan, salida","uscita, strategia, uscite, foro, fuga","sorties, stratégie, sortie, issue, secours","出口, \ue60c, 退出, 出境, 逃生","lối_thoát, lối, hiểm, Lối_thoát, Lối","出口, 非常口, 列, 撤退, 脱出","출구, 비상구, 총알, 관통, 탈출구","ทางออก, ที่ทางออก, มีทางออก, ทางออกของ, ทางออกอยู่","keluarnya, strategi, Pintu, Jalan, jalur","Çıkışı, çıkışa, Çıkış, çıkıştan, çıkışta","المخرج, مخرج, خروج, للمخرج, مخرجاً","היציאה, יציאה, ביציאה, ליציאה, אסטרטגיית",y
wait,"várnia, várhatunk, várnom, várhat, várjanak","odotettava, malta, odottakaa, Odotetaan, odotamme","Ανυπομονώ, στάσου, περιμένουν, περιμένετε, Στάσου","дождусь, подождем, жди, подожду, погодите","abwarten, wartest, erwarten, halt, wartet","esperad, Esperaré, esperes, esperaré, esperen","attendere, Aspettiamo, aspettiamo, aspettate, fermi","attendrai, hâte, attendez, attend, attends",y,y,"待, 待て, ち, 早, おい","잠깐, 기다리, 기다려, 기다릴, wait","รอ, รอก่อน, ไม่ไหว, เดี๋ยวก่อน, ๆๆ",y,"beklemeliyiz, bekleyemez, bekleyemem, bekleyecek, beklerim","الأنتظار, سننتظر, أطيق, سأنتظر, إنتظار","תחכי, ולחכות, אחכה, תחכה, להמתין",y
stay,"maradjatok, maradhatunk, maradnunk, maradhatsz, maradhatok","jäämään, pysymään, pysyt, Jään, Jää","μείνουν, μείνε, μένεις, μείνετε, μείνουμε","останься, оставайся, останемся, останешься, останусь","hierbleiben, bleib, bleibst, fern, Bleiben","quedes, quédate, quedarnos, quedaré, quedas","rimani, Resta, resti, resta, rimanere","restez, restes, Restez, Reste, longtemps","留下, 留在, stay, 呆, 痙","tránh, yên, xa, lâu, bảo","滞在, 留ま, 残, 離れ, まま","머물, 남, 어야, 계속, 거기","อยู่ห่างๆ, ต้องอยู่, ห่าง, พัก, นาน","tetaplah, menginap, menjauh, Tetap, bersamaku","kalamam, kalmanı, kalabilirsin, kalmayı, kalabilir","بالبقاء, إبقي, للبقاء, إبقى, ابق","שתישאר, תשאר, תישארו, נישאר, נשארים",y
leave,"elhagyni, hagyhatjuk, hagyhatom, hagylak, hagyjon","lähdettävä, jätän, Jätän, poistua, lähtemään",y,"оставлять, покинуть, оставь, оставьте, оставлю",y,"dejarte, dejarme, dejarlo, dejo, irte","lasciarlo, andarcene, andarsene, andarmene, lasciarmi","laissez, pars, quitter, tranquille, laissé","leave, 丟下, 離開, 瞒, 留在","rời, yên, nhắn, bỏ, một_mình","去, 置, 出発, 放, 離れ","떠나, 떠날, leave, 남겨, 내버려","จากไป, ฝาก, ทิ้ง, ออกจาก, หนี","meninggalkanmu, meninggalkanku, meninggalkannya, tinggalkan, berangkat","bırakamam, ayrılmak, bırakıyorum, bırakayım, bırakacağım","سأترك, نغادر, نترك, تتركني, مغادرة","נעזוב, נשאיר, יעזוב, אעזוב, תעזבי",y
return,"térjen, visszatérnek, Cserébe, visszatérek, térni","Vastineeksi, palauttamaan, vastapalveluksen, vastineeksi, paluuta","επιστροφής, επιστρέψετε, επιστρέψουν, επιστροφή, αντάλλαγμα","взамен, возвращение, возвращения, вернутся, верну","Rückkehr, Gegenzug, Gegenleistung, zurückzukehren, kehren","retorno, devolver, regrese, volverá, regreso",y,y,y,"trở, trở_lại, đổi, trả, quay","返, 戻, 見返り, 帰還, 返し","돌아오, 돌아가, 돌아올, return, 돌아갈","ตอบแทน, เป็นการตอบแทน, โทรกลับ, ต้องกลับ, ไปยัง","imbalannya, kembalinya, balasannya, mengembalikannya, imbalan","Karşılığında, dönüşü, dönmesini, iade, dönene","بالمقابل, المقابل, عودتك, عودة, بالعودة","ובתמורה, לשוב, אחזיר, יחזרו, בתמורה",y
