concept_id,column,old,new,source
7,Arabic,نظر,اِنْتَظَرَ,vocalize
7,Hebrew,חכה,חַכֵּה,vocalize
24,Arabic,لتعليم,عَلَّمَ,vocalize
24,Hebrew,ללמד,לְלַמֵּד,vocalize
25,Arabic,لتكرار,كَرَّرَ,vocalize
25,Hebrew,לחזור,לַחֲזֹר,vocalize
26,Arabic,لتستعمل فى,اِعْتَادَ عَلَى,vocalize
26,Hebrew,להיות רגיל ל,לִהְיוֹת רָגִיל ל,vocalize
27,Arabic,لاستكمال,اِسْتَمَرَّ,vocalize
27,Hebrew,להמשיך,לְהַמְשִׁיךְ,vocalize
54,Arabic,للاستحمام,لِلاِسْتِحْمام,vocalize
54,Hebrew,להתקלח,לְהִתְקַלֵּחַ,vocalize
58,Arabic,للاتصال,اِتَّصَلَ,vocalize
58,Hebrew,להתחבר,לְהִתְחַבֵּר,vocalize
59,Arabic,يلتصق,اِلْتَصَقَ,vocalize
59,Hebrew,להיצמד,לְהִצָּמֵד,vocalize
67,Arabic,لإبتلاع,بَلَعَ,vocalize
67,Hebrew,לבלוע,לִבְלֹעַ,vocalize
82,Arabic,غلق,أَغْلَقَ,vocalize
82,Hebrew,סגר,סָגַר,vocalize
90,Arabic,لدفع,دَفَعَ,vocalize
90,Hebrew,לשלם,לְשַׁלֵּם,vocalize
97,Arabic,ثبر,خَرَّبَ,vocalize
97,Hebrew,הרס,הָרַס,vocalize
114,Arabic,للانتقال,تَحَرَّكَ,vocalize
114,Hebrew,לזוז,לָזוּז,vocalize
115,Arabic,للتوقف,تَوَقَّفَ,vocalize
115,Hebrew,לעצור,לַעֲצֹר,vocalize
116,Arabic,للقيادة,قَادَ,vocalize
116,Hebrew,לנהוג,לִנְהֹג,vocalize
117,Arabic,للمتابعة,تَبِعَ,vocalize
117,Hebrew,לעקוב,לַעֲקֹב,vocalize
118,Arabic,للتذكر,تَذَكَّرَ,vocalize
118,Hebrew,לזכור,לִזְכֹּר,vocalize
123,Arabic,لازالة,أَزَالَ,vocalize
123,Hebrew,כדי להסיר,כְּדֵי לְהָסִיר,vocalize
124,Arabic,لارتفاع,زَادَ,vocalize
124,Hebrew,להגדיל,לְהַגְדִּיל,vocalize
125,Arabic,لتنقيص او لتقليل,نَقَصَ,vocalize
125,Hebrew,להפחית,לְהַפְחִית,vocalize
128,Arabic,للنزول,نَزَلَ,vocalize
128,Hebrew,לרדת,לָרֶדֶת,vocalize
139,Arabic,للطبخ,طَبَخَ,vocalize
139,Hebrew,לבשל,לְבַשֵּׁל,vocalize
142,Arabic,حتى الغليان,غَلَّى,vocalize
142,Hebrew,להרתיח,לְהַרְתִּיחַ,vocalize
143,Arabic,إلى الحساء,طَهَا بِبُطْءٍ,vocalize
143,Hebrew,לתבשיל,לְבַשֵּׁל בְּאִטִּיּוּת,vocalize
144,Arabic,إلى البخار,بَخَّرَ,vocalize
144,Hebrew,לאדים,לְאַדּוֹת,vocalize
147,Arabic,للتألق,لَمَعَ,vocalize
147,Hebrew,לזרוח,לִזְרֹחַ,vocalize
148,Arabic,للذوبان,ذَابَ,vocalize
148,Hebrew,כדי להמס,כְּדֵי לְהָמֵס,vocalize
151,Arabic,لكى تحب,أَحَبَّ,vocalize
151,Hebrew,לחבב,לְחַבֵּב,vocalize
156,Arabic,لتقبيل,قَبَّلَ,vocalize
156,Hebrew,לנשק,לְנַשֵּׁק,vocalize
158,Arabic,لاناش,اِنْدَفَعَ,vocalize
158,Hebrew,לדאוף,לָרוּץ בִּמְהִירוּת,vocalize
159,Arabic,لإطلاق النار,أَطْلَقَ النَّارَ,vocalize
159,Hebrew,לירות,לִירוֹת,vocalize
161,Arabic,للصيد,صَادَ,vocalize
161,Hebrew,לצוד,לָצוּד,vocalize
162,Arabic,لكي تؤلم,آذَى,vocalize
162,Hebrew,לפגוע,לִפְגֹּעַ,vocalize
163,Arabic,للهجوم,هَاجَمَ,vocalize
163,Hebrew,לתקוף,לִתְקֹף,vocalize
166,Arabic,خزن,خَزَنَ,vocalize
166,Hebrew,לאחסן,לְאַחְסֵן,vocalize
168,Arabic,لاحتواء,اِحْتَوَى عَلَى,vocalize
168,Hebrew,להכיל,לְהָכִיל,vocalize
169,Arabic,لكي يتضمن,شَمِلَ,vocalize
169,Hebrew,לכלול,לִכְלֹל,vocalize
171,Arabic,لإعلان,أَعْلَنَ,vocalize
171,Hebrew,להכריז,לְהַכְרִיז,vocalize
173,Arabic,للإيجار,اِسْتَأْجَرَ,vocalize
173,Hebrew,לשכור,לִשְׂכֹּר,vocalize
174,Arabic,للسفر,سَافَرَ,vocalize
174,Hebrew,לטייל,לְטַיֵּל,vocalize
176,Arabic,للهرب,هَرَبَ,vocalize
176,Hebrew,לברוח,לִבְרֹחַ,vocalize
177,Arabic,لتجنب,تَجَنَّبَ,vocalize
177,Hebrew,להתחמק,לְהִתְחַמֵּק,vocalize
178,Arabic,للتركيز,لِلتَرْكِيز,vocalize
178,Hebrew,להתמקד,לְהִתְמַקֵּד,vocalize
179,Arabic,للنباح,نَبَحَ,vocalize
179,Hebrew,לנבוח,לִנְבֹּחַ,vocalize
180,Arabic,لتعوي,عَوَى,vocalize
180,Hebrew,ליילל,לְיַלֵּל,vocalize
181,Arabic,للإتصال,نَادَى,vocalize
181,Hebrew,להתקשר,לְהִתְקַשֵּׁר,vocalize
185,Arabic,ان تصرخ,صَرَخَ,vocalize
185,Hebrew,לצעוק,לִצְעֹק,vocalize
186,Arabic,أن تهمس,هَمَسَ,vocalize
186,Hebrew,ללחוש,לִלְחֹשׁ,vocalize
187,Arabic,لبناء,بَنَى,vocalize
187,Hebrew,לבנות,לְבָנוֹת,vocalize
188,Arabic,لكى تحب,أَحَبَّ,vocalize
188,Hebrew,לחבב,לְחַבֵּב,vocalize
190,Arabic,لتعليق,عَلَّقَ,vocalize
190,Hebrew,לתלות,לִתְלוֹת,vocalize
191,Arabic,لوزن,وَزَنَ,vocalize
191,Hebrew,לשקול,לִשְׁקֹל,vocalize
192,Arabic,لقياس,قَاسَ,vocalize
192,Hebrew,למדוד,לִמְדֹּד,vocalize
193,Arabic,أن يتأرجح,تَأَرْجَحَ,vocalize
193,Hebrew,להתנדנד,לְהִתְנַדְנֵד,vocalize
194,Arabic,أن يهز,هَزَّ,vocalize
194,Hebrew,לנער,לְנַעֵר,vocalize
196,Arabic,للعمل,عَمِلَ,vocalize
196,Hebrew,לעבוד,לַעֲבֹד,vocalize
197,Arabic,للزواج,تَزَوَّجَ,vocalize
197,Hebrew,להתחתן,לְהִתְחַתֵּן,vocalize
198,Arabic,للصلاة,صَلَّى,vocalize
198,Hebrew,להתפלל,לְהִתְפַּלֵּל,vocalize
199,Arabic,للفوز,فَازَ,vocalize
199,Hebrew,לנצח,לְנַצֵּחַ,vocalize
201,Arabic,لخلط,خَلَطَ,vocalize
201,Hebrew,לערבב,לְעַרְבֵּב,vocalize
202,Arabic,للانحناء,ثَنَى,vocalize
202,Hebrew,לכופף,לְכוֹפֵף,vocalize
203,Arabic,لكي تطعم,أَطْعَمَ,vocalize
203,Hebrew,להאכיל,לְהַאֲכִיל,vocalize
204,Arabic,إلى الخلف,رَبَّى,vocalize
204,Hebrew,לאחור,לְגַדֵּל,vocalize
205,Arabic,لفة,دَحْرَجَ,vocalize
205,Hebrew,לגלגל,לְגַלְגֵּל,vocalize
206,Arabic,للانزلاق,اِنْزَلَقَ,vocalize
206,Hebrew,להחליק,לְהַחְלִיק,vocalize
207,Arabic,لتغطية,غَطَّى,vocalize
207,Hebrew,לכסות,לְכַסּוֹת,vocalize
208,Arabic,من أجل دعم,دَعَمَ,vocalize
208,Hebrew,לתמוך,לִתְמֹךְ,vocalize
210,Arabic,للتطور,طَوَّرَ,vocalize
210,Hebrew,לפתח,לְפֶתַח,vocalize
212,Arabic,أن يتقلص,اِنْكَمَشَ,vocalize
212,Hebrew,לכווץ,לְכַוֵּץ,vocalize
214,Arabic,للإفراج,أَطْلَقَ,vocalize
214,Hebrew,לשחרר,לְשַׁחְרֵר,vocalize
215,Arabic,لاستنزاف,صَرَّفَ,vocalize
215,Hebrew,לספוג,לְנַקֵּז,vocalize
216,Arabic,لملء,مَلَأَ,vocalize
216,Hebrew,למלא,לְמַלֵּא,vocalize
221,Arabic,لتوسيع,وَسَّعَ,vocalize
221,Hebrew,להרחיב,לְהַרְחִיב,vocalize
223,Arabic,للإشعاع,أَشَعَّ,vocalize
223,Hebrew,להקרין,לְהַקְרִין,vocalize
225,Arabic,لعرقلة,عَرْقَلَ,vocalize
225,Hebrew,להכשיל,לַחְסֹם,vocalize
230,Arabic,للتجاعيد,لِلتَجاعِيد,vocalize
230,Hebrew,להתקמט,לְהִתְקַמֵּט,vocalize
234,Arabic,للتآكل,تَآكَلَ,vocalize
234,Hebrew,לשחוק,לִשְׁחֹק,vocalize
235,Arabic,لقشر,قَشَرَ,vocalize
235,Hebrew,לקלף,לְקַלֵּף,vocalize
236,Arabic,لتلويث,لَوَّثَ,vocalize
236,Hebrew,לזהם,לְזַהֵם,vocalize
237,Arabic,التحديق,حَدَّقَ,vocalize
237,Hebrew,לבהות,לִבְהוֹת,vocalize
238,Arabic,لكي يعلق,تَعَامَلَ مَعَ,vocalize
238,Hebrew,להתמודד,לְהִתְמוֹדֵד,vocalize
239,Arabic,لترجمة,تَرْجَمَ,vocalize
239,Hebrew,לתרגם,לְתַרְגֵּם,vocalize
240,Arabic,لتتناسب مع,طَابَقَ,vocalize
240,Hebrew,להתאים אליו,לְהַתְאִים אֵלָיו,vocalize
241,Arabic,لمقارنة,قَارَنَ,vocalize
241,Hebrew,להשוות,לְהַשְׁווֹת,vocalize
242,Arabic,لترتيب,رَتَّبَ,vocalize
242,Hebrew,לארגן,לְאַרְגֵּן,vocalize
243,Arabic,لفرز,لِفَرْز,vocalize
243,Hebrew,למיין,לְמַיֵּן,vocalize
245,Arabic,للإستمتاع,اِسْتَمْتَعَ,vocalize
245,Hebrew,להנות,לֵהָנוֹת,vocalize
246,Arabic,للراحة,اِسْتَرْخَى,vocalize
246,Hebrew,להירגע,לְהֵרָגַע,vocalize
247,Arabic,بسرعه,أَسْرَعَ,vocalize
247,Hebrew,למהר,לְמַהֵר,vocalize
250,Arabic,كي تنجح,نَجَحَ,vocalize
250,Hebrew,להצליח,לְהַצְלִיחַ,vocalize
251,Arabic,للفشل,فَشِلَ,vocalize
251,Hebrew,להיכשל,לְהִכָּשֵׁל,vocalize
252,Arabic,لإخفاء,أَخْفَى,vocalize
252,Hebrew,להסתיר,לְהַסְתִּיר,vocalize
254,Arabic,لكي يحسب,حَسَبَ,vocalize
254,Hebrew,לחשב,לְחַשֵּׁב,vocalize
256,Arabic,لكسب,كَسَبَ,vocalize
256,Hebrew,להרוויח,לְהַרְוִיחַ,vocalize
257,Arabic,لمسح,مَسَحَ ضَوْئِيًّا,vocalize
257,Hebrew,לסרוק,לִסְרֹק,vocalize
258,Arabic,لطباعة,طَبَعَ,vocalize
258,Hebrew,להדפיס,לְהַדְפִּיס,vocalize
259,Arabic,لكذب,كَذَبَ,vocalize
259,Hebrew,לשקר,לְשַׁקֵּר,vocalize
260,Arabic,لخداع,خَدَعَ,vocalize
260,Hebrew,לרמות,לְרַמּוֹת,vocalize
262,Arabic,للتخيل,تَخَيَّلَ,vocalize
262,Hebrew,לדמיין,לְדַמְיֵן,vocalize
263,Arabic,لقبول,قَبِلَ,vocalize
263,Hebrew,לקבל,לְקַבֵּל,vocalize
264,Arabic,للرفض,أَنْكَرَ,vocalize
264,Hebrew,להכחיש,לְהַכְחִישׁ,vocalize
267,Arabic,للتعديل,حَرَّرَ,vocalize
267,Hebrew,לערוך,לַעֲרֹךְ,vocalize
269,Arabic,لنسخ,لَنُسَخ,vocalize
269,Hebrew,להעתיק,לְהַעְתִּיק,vocalize
270,Arabic,لصق,لَصَّقَ,vocalize
270,Hebrew,להדביק,לְהַדְבִּיק,vocalize
273,Arabic,للدردشة,لِلدَرْدَشَة,vocalize
273,Hebrew,לדבר,לְדַבֵּר,vocalize
274,Arabic,لشرح,شَرَحَ,vocalize
274,Hebrew,להסביר,לְהַסְבִּיר,vocalize
276,Arabic,لتمويل,لِتَمْوِيل,vocalize
276,Hebrew,לממן,לְמַמֵּן,vocalize
277,Arabic,ليتحكم,سَيْطَرَ عَلَى,vocalize
277,Hebrew,לשלוט,לִשְׁלֹט,vocalize
278,Arabic,للتأكد,فَحَصَ,vocalize
278,Hebrew,לבדוק,לִבְדֹּק,vocalize
279,Arabic,لممارسة,مَارَسَ,vocalize
279,Hebrew,להתאמן,לְהִתְאַמֵּן,vocalize
280,Arabic,للتحضير,حَضَّرَ,vocalize
280,Hebrew,להכין,לְהָכִין,vocalize
281,Arabic,للمراجعة,رَاجَعَ,vocalize
281,Hebrew,לסקור,לִסְקֹר,vocalize
283,Arabic,للتصميم,صَمَّمَ,vocalize
283,Hebrew,לעצב,לְעַצֵּב,vocalize
284,Arabic,للتخطيط,خَطَّطَ,vocalize
284,Hebrew,לתכנן,לְתַכְנֵן,vocalize
285,Arabic,لفهم,فَهِمَ,vocalize
285,Hebrew,להבין,לְהָבִין,vocalize
287,Arabic,لافتراض,اِفْتَرَضَ,vocalize
287,Hebrew,להניח,לְהַנִּיחַ,vocalize
288,Arabic,لتخمين,خَمَّنَ,vocalize
288,Hebrew,לנחש,לְנַחֵשׁ,vocalize
289,Arabic,لتحترم,اِحْتَرَمَ,vocalize
289,Hebrew,לכבד,לְכַבֵּד,vocalize
290,Arabic,لازدراء,اِزْدَرَى,vocalize
290,Hebrew,לבוז,לָבוּז,vocalize
293,Arabic,لتحمل,تَحَمَّلَ,vocalize
293,Hebrew,לסבול,לִסְבֹּל,vocalize
294,Arabic,لكي نلتقي,اِلْتَقَى,vocalize
294,Hebrew,להפגש,לְהִפָּגֵשׁ,vocalize
295,Arabic,لكي تصل,وَصَلَ,vocalize
295,Hebrew,להגיע,לְהַגִּיעַ,vocalize
296,Arabic,لجمع,جَمَعَ,vocalize
296,Hebrew,לאסוף,לֶאֱסֹף,vocalize
298,Arabic,للتوقيع,وَقَّعَ,vocalize
298,Hebrew,לחתום,לַחְתֹּם,vocalize
299,Arabic,لكبح جماح,كَبَحَ,vocalize
299,Hebrew,לרסן,לְרַסֵּן,vocalize
300,Arabic,لكى يسمح,سَمَحَ,vocalize
300,Hebrew,לאפשר,לְאַפְשֵׁר,vocalize
301,Arabic,لمنع,مَنَعَ,vocalize
301,Hebrew,לאסור,לֶאֱסֹר,vocalize
302,Arabic,لقيادة,قَادَ,vocalize
302,Hebrew,להוביל,לְהוֹבִיל,vocalize
303,Arabic,للحكم,حَكَمَ,vocalize
303,Hebrew,למשול,לִמְשֹׁל,vocalize
304,Arabic,لإدارة,أَدَارَ,vocalize
304,Hebrew,לנהל,לְנַהֵל,vocalize
307,Arabic,للحضور,حَضَرَ,vocalize
307,Hebrew,להיות נוכח,לִהְיוֹת נוֹכֵחַ,vocalize
308,Arabic,لمرافقة,رَافَقَ,vocalize
308,Hebrew,להתלוות,לְהִתְלַוּוֹת,vocalize
309,Arabic,للمشاركه,شَارَكَ,vocalize
309,Hebrew,לשתף,לְשַׁתֵּף,vocalize
311,Arabic,لحرث,حَرَثَ,vocalize
311,Hebrew,לחרוש,לַחֲרֹשׁ,vocalize
312,Arabic,للري,رَوَى,vocalize
312,Hebrew,להשקות,לְהַשְׁקוֹת,vocalize
313,Arabic,لزرع,زَرَعَ,vocalize
313,Hebrew,לזרוע,לִזְרֹעַ,vocalize
314,Arabic,لجني,حَصَدَ,vocalize
314,Hebrew,לקצור,לִקְצֹר,vocalize
315,Arabic,لنسج,نَسَجَ,vocalize
315,Hebrew,לארוג,לֶאֱרֹג,vocalize
317,Arabic,للتبرع,تَبَرَّعَ,vocalize
317,Hebrew,לתרום,לִתְרֹם,vocalize
318,Arabic,لتوجيه,وَجَّهَ,vocalize
318,Hebrew,להנחות,לְהַנְחוֹת,vocalize
322,Arabic,لتأنيب,وَبَّخَ,vocalize
322,Hebrew,לגעור,לִגְעֹר,vocalize
323,Arabic,لزيارة,زَارَ,vocalize
323,Hebrew,לבקר,לְבַקֵּר,vocalize
324,Arabic,لإصلاح,أَصْلَحَ,vocalize
324,Hebrew,לתקן,לְתַקֵּן,vocalize
325,Arabic,للغرف,لِلغُرَف,vocalize
325,Hebrew,לסקופ,לִגְרוֹף,vocalize
327,Arabic,لاستكشاف,اِسْتَكْشَفَ,vocalize
327,Hebrew,כדי לחקור,כְּדֵי לַחֲקֹר,vocalize
328,Arabic,للاستعمار,اِسْتَعْمَرَ,vocalize
328,Hebrew,להתיישב,לְהִתְיַשֵּׁב,vocalize
329,Arabic,للتجول,تَجَوَّلَ,vocalize
329,Hebrew,לשוטט,לְשׁוֹטֵט,vocalize
331,Arabic,انحدار,شَدِيدُ الاِنْحِدَار,vocalize
331,Hebrew,תָלוּל,תָּלוּל,vocalize
335,Arabic,منحني,مُنْحَنٍ,vocalize
